smiles,property_id,value,split
C,toy_oxygen,0,train
C,toy_nitrogen,0,train
C,toy_long_chain,0,train
CC,toy_oxygen,0,train
CC,toy_nitrogen,0,train
CC,toy_long_chain,0,train
CCC,toy_oxygen,0,train
CCC,toy_nitrogen,0,train
CCC,toy_long_chain,1,train
CO,toy_oxygen,1,train
CO,toy_nitrogen,0,train
CO,toy_long_chain,0,train
CCO,toy_oxygen,1,train
CCO,toy_nitrogen,0,train
CCO,toy_long_chain,0,train
CCCO,toy_oxygen,1,train
CCCO,toy_nitrogen,0,train
CCCO,toy_long_chain,1,train
CN,toy_oxygen,0,train
CN,toy_nitrogen,1,train
CN,toy_long_chain,0,train
CCN,toy_oxygen,0,train
CCN,toy_nitrogen,1,train
CCN,toy_long_chain,0,train
CCCN,toy_oxygen,0,train
CCCN,toy_nitrogen,1,train
CCCN,toy_long_chain,1,train
C=O,toy_oxygen,1,train
C=O,toy_nitrogen,0,train
C=O,toy_long_chain,0,train
CC=O,toy_oxygen,1,train
CC=O,toy_nitrogen,0,train
CC=O,toy_long_chain,0,train
CC(=O)O,toy_oxygen,1,train
CC(=O)O,toy_nitrogen,0,train
CC(=O)O,toy_long_chain,0,train
CNC,toy_oxygen,0,train
CNC,toy_nitrogen,1,train
CNC,toy_long_chain,0,train
COC,toy_oxygen,1,train
COC,toy_nitrogen,0,train
COC,toy_long_chain,0,train
CCOC,toy_oxygen,1,train
CCOC,toy_nitrogen,0,train
CCOC,toy_long_chain,1,train
CC(C)O,toy_oxygen,1,train
CC(C)O,toy_nitrogen,0,train
CC(C)O,toy_long_chain,1,train
CCCC,toy_oxygen,0,validation
CCCC,toy_nitrogen,0,validation
CCCC,toy_long_chain,1,validation
CCCCO,toy_oxygen,1,validation
CCCCO,toy_nitrogen,0,validation
CCCCO,toy_long_chain,1,validation
CCCCN,toy_oxygen,0,validation
CCCCN,toy_nitrogen,1,validation
CCCCN,toy_long_chain,1,validation
CC(=O)N,toy_oxygen,1,validation
CC(=O)N,toy_nitrogen,1,validation
CC(=O)N,toy_long_chain,0,validation
CCCCC,toy_oxygen,0,test
CCCCC,toy_nitrogen,0,test
CCCCC,toy_long_chain,1,test
CCCCCO,toy_oxygen,1,test
CCCCCO,toy_nitrogen,0,test
CCCCCO,toy_long_chain,1,test
CCCCCN,toy_oxygen,0,test
CCCCCN,toy_nitrogen,1,test
CCCCCN,toy_long_chain,1,test
CCC(=O)O,toy_oxygen,1,test
CCC(=O)O,toy_nitrogen,0,test
CCC(=O)O,toy_long_chain,1,test
